track_id,user,name,artists,duration,is_explicit,popularity,has_track_features,dancability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,valence,liveness
32Ky5QCRtwYJJXuLwoGufj,31hbrww3peprl3puzzaqqf6yfycy,Monsoon,['Tokio Hotel'],241.426,False,55,True,0.58,0.731,-5.299,111.982,0.0293,0.0204,0.0,0.164,0.21
3hb2ScEVkGchcAQqrPLP0R,31hbrww3peprl3puzzaqqf6yfycy,Photograph,['Nickelback'],258.92,False,69,True,0.515,0.876,-3.756,145.916,0.0292,0.000932,0.000166,0.385,0.136
3dXNrqnhNUPdrkvnj8TjvX,basmerbel,At Home,['Crystal Fighters'],306.44,False,38,True,0.65,0.894,-4.788,105.014,0.0308,0.105,0.13,0.35,0.123
3CjqPzG6sUMTzVAcA2bdKS,1pat8ir5aqzhzvs7ygs1jp8ga,Jumpin',['Doss'],325.454,False,35,True,0.717,0.694,-10.35,132.005,0.0362,0.0158,0.928,0.0853,0.118
5UqCQaDshqbIk3pkhy4Pjg,31hbrww3peprl3puzzaqqf6yfycy,Levels - Radio Edit,['Avicii'],199.906,False,79,True,0.584,0.889,-5.941,126.04,0.0343,0.0462,0.828,0.464,0.309
0nrRP2bk19rLc0orkWPQk2,31hbrww3peprl3puzzaqqf6yfycy,Wake Me Up,['Avicii'],247.426,False,86,True,0.532,0.783,-5.697,124.08,0.0523,0.0038,0.0012,0.643,0.161
6VRhkROS2SZHGlp0pxndbJ,31hbrww3peprl3puzzaqqf6yfycy,Bangarang (feat. Sirah),"['Skrillex', 'Sirah']",215.253,True,71,True,0.716,0.972,-2.302,110.026,0.196,0.0145,3.22e-05,0.576,0.317
02FuO3zDHGFAz0yP7HHGvy,31hbrww3peprl3puzzaqqf6yfycy,Cinema - Skrillex Remix,"['Benny Benassi', 'Gary Go', 'Skrillex']",307.862,False,63,True,0.637,0.985,-3.809,145.111,0.184,0.00988,0.00857,0.374,0.0649
6YUTL4dYpB9xZO5qExPf05,31hbrww3peprl3puzzaqqf6yfycy,Summer,['Calvin Harris'],222.533,False,84,True,0.596,0.856,-3.556,127.949,0.0346,0.0211,0.0178,0.743,0.141
22mek4IiqubGD9ctzxc69s,31hbrww3peprl3puzzaqqf6yfycy,How Deep Is Your Love,"['Calvin Harris', 'Disciples']",212.64,False,77,True,0.738,0.868,-4.373,122.003,0.0731,0.0392,0.00169,0.336,0.388
